operon_no.	locus_tag	start	end 	sense
815	CCNA_01416	1533716	1534612	+
15	CCNA_00030	33595	34329	+
764	CCNA_01318	1437211	1437768	+
1990	CCNA_03374	3548407	3548814	+
1873	CCNA_03184	3344054	3345748	-
2096	CCNA_03562	3717106	3718638	-
206	CCNA_00373	389030	389791	-
2073.1	CCNA_03513	3670974	3671846	-
1002	CCNA_01739	1869268	1869852	-
543	CCNA_00950	1026984	1028648	+
841	CCNA_01458	1567879	1568187	+
836	CCNA_01449	1561881	1562858	+
851	CCNA_01477	1584237	1585601	+
1471	CCNA_02551	2699236	2699430	+
1337	CCNA_02318	2461318	2461581	-
420	CCNA_00751	808992	810233	-
1458	CCNA_03968	2674604	2674744	+
950	CCNA_01626	1747568	1748332	+
189	CCNA_00348	362218	364221	-
409	CCNA_00733	790499	791437	+
701	CCNA_01193	1313460	1315289	-
412	CCNA_00738	797019	798110	-
1962	CCNA_03323	3504361	3505551	-
2410	CCNA_03966	2465238	2465672	+
107	CCNA_00202	216215	217270	+
1589	CCNA_02741	2901593	2902285	+
1658	CCNA_02860	3012116	3013060	-
1993	CCNA_03379	3551638	3551865	-
1292	CCNA_02246	2395180	2396016	-
1050	CCNA_01820	1946223	1947563	+
1773	CCNA_03036	3190347	3191324	-
22.1	CCNA_00048	50902	52125	-
22	CCNA_00054	56665	58011	-
2117	CCNA_03597	3749725	3750126	-
946.1	CCNA_01621	1741687	1742046	+
1043	CCNA_01797	1923489	1923791	+
1671	CCNA_02878	3026557	3026715	-
2145	CCNA_03645	3803817	3804404	-
1077	CCNA_01863	1997194	1998630	-
2226	CCNA_03778	3944717	3945469	+
596	CCNA_01030	1118884	1119501	-
2101	CCNA_03573	3725877	3727622	-
713	CCNA_01214	1340778	1341998	-
1725	CCNA_02959	3116116	3116976	+
1538	CCNA_02656	2809368	2810180	-
376	CCNA_00691	748560	748901	-
1816	CCNA_03101	3251453	3252370	-
1407	CCNA_02423	2567378	2567818	-
1800	CCNA_03081	3229064	3229471	-
2239	CCNA_03796	3959547	3960557	+
201	CCNA_00363	379324	380100	-
1608	CCNA_02764	2926215	2926454	-
498	CCNA_00874	952833	953744	+
886	CCNA_01537	1645354	1645890	-
206	CCNA_00374	389797	390177	-
2365	CCNA_03914	68179	68196	-
123	CCNA_00226	243157	243432	+
789	CCNA_01369	1484714	1485853	+
2049	CCNA_03471	3637666	3638625	+
728	CCNA_01244	1371913	1372320	-
2135	CCNA_03627	3782612	3783772	-
2272	CCNA_03857	4020965	4021567	-
1687	CCNA_02898	3050012	3051541	+
2045	CCNA_03463	3626273	3627619	-
1645	CCNA_02831	2985216	2985773	+
718	CCNA_01227	1353981	1355048	+
2108	CCNA_03581	3737998	3738870	+
1758	CCNA_03008	3162470	3163063	+
130	CCNA_00236	250611	252308	-
1765	CCNA_03023	3176921	3179086	-
514	CCNA_00895	975146	975541	+
1824	CCNA_03112	3261956	3263242	-
1295	CCNA_02251	2399868	2400707	-
1980	CCNA_03359	3537302	3538492	+
1153.1	CCNA_02011	2157570	2157989	-
2146.1	CCNA_03653	3815434	3815766	+
1357	CCNA_02347	2486278	2487774	+
484	CCNA_00851	926304	927470	-
1445	CCNA_02492	2639674	2640324	+
2019	CCNA_03423	3589731	3590120	-
330	CCNA_00595	626899	627888	-
1804	CCNA_03085	3234537	3235514	-
822	CCNA_01427	1544458	1544940	-
458	CCNA_00805	869089	869778	-
301	CCNA_00543	561713	562363	-
1200	CCNA_02108	2256813	2258201	-
730	CCNA_01249	1376633	1377439	+
466	CCNA_00827	888079	891006	+
1118	CCNA_01937	2080163	2081191	-
1183	CCNA_02083	2232870	2233535	-
783	CCNA_01358	1474148	1475047	+
882	CCNA_01529	1637293	1637661	+
646	CCNA_01106	1212099	1212368	+
1914	CCNA_03253	3423688	3425037	+
568	CCNA_00988	1068127	1069569	-
240	CCNA_00431	437761	437883	+
859	CCNA_01489	1596728	1598278	+
131.1	CCNA_00240	255318	255725	+
1669	CCNA_02876	3025889	3026329	+
500	CCNA_00878	955220	956650	+
95	CCNA_00180	193848	194954	+
1936	CCNA_03282	3451802	3452668	+
1639	CCNA_02821	2977478	2978812	-
670	CCNA_01143	1247757	1248239	-
25	CCNA_00060	61191	61763	-
1089	CCNA_01886	2025426	2028326	-
1318	CCNA_02281	2430959	2432740	+
752	CCNA_01287	1412941	1413933	-
1024	CCNA_01774	1900105	1900686	-
353	CCNA_00639	690126	691751	-
2197	CCNA_03735	3904176	3906137	+
750	CCNA_01285	1411601	1412590	-
1208	CCNA_02122	2273885	2274592	+
190	CCNA_00350	365306	365986	-
487	CCNA_00854	929146	930738	+
190	CCNA_00349	364395	365309	-
1553	CCNA_02679	2831838	2832590	-
1956	CCNA_03315	3489776	3491002	+
1082	CCNA_01874	2010768	2012213	-
1304	CCNA_02263	2417355	2417846	+
2175	CCNA_03704	3872305	3873636	-
494	CCNA_00864	942458	943204	-
1885	CCNA_03200	3359910	3361634	-
694	CCNA_01181	1301278	1301802	-
1551	CCNA_02676	2829259	2830155	-
462	CCNA_00820	882223	883395	-
925	CCNA_01592	1712453	1712881	+
2146	CCNA_03649	3806915	3808006	+
873	CCNA_01515	1624314	1625594	+
1970.3	CCNA_03334	3514514	3516394	-
1623	CCNA_02794	2953501	2955258	-
1179	CCNA_02074	2224538	2225008	+
1498	CCNA_02595	2743138	2743458	-
1295	CCNA_02252	2400729	2402321	-
2383	CCNA_03891	1254289	1254639	-
1217	CCNA_02134	2290257	2292065	-
1049	CCNA_01816	1941312	1943555	+
2180	CCNA_03711	3876991	3877617	-
1946	CCNA_03297	3468011	3469126	+
1970	CCNA_03346	3525834	3526355	-
933	CCNA_01603	1723294	1724496	-
274	CCNA_00495	512080	512334	+
2298	CCNA_01722	1849102	1849506	+
642	CCNA_01099	1204106	1205296	-
1087	CCNA_01880	2019780	2020523	+
1056	CCNA_01828	1954767	1955342	-
805	CCNA_01394	1512465	1513286	-
650	CCNA_01115	1219547	1220338	-
2269	CCNA_03847	4013112	4013837	+
2420	CCNA_03986	3285449	3285835	-
1888.1	CCNA_03204	3364972	3366180	+
957	CCNA_01645	1765667	1766527	+
599	CCNA_01035	1126541	1128433	+
1843	CCNA_03140	3290421	3291311	+
1616	CCNA_02782	2939969	2940454	-
201	CCNA_00361	377803	378750	-
807	CCNA_01399	1518556	1520088	-
1365	CCNA_02361	2500476	2501627	-
131.1	CCNA_00241	255722	256000	+
713	CCNA_01213	1339720	1340781	-
2066	CCNA_03496	3655158	3655925	-
1950	CCNA_03304	3480990	3483068	-
541	CCNA_00945	1022922	1023653	+
2002	CCNA_03394	3565573	3566286	+
1528	CCNA_02642	2794896	2796356	-
1411	CCNA_02433	2574870	2575064	-
1077	CCNA_01862	1996891	1997184	-
645	CCNA_01103	1208972	1209943	-
2264	CCNA_03838	4003161	4004147	+
174	CCNA_00320	334940	335209	-
304	CCNA_00549	566164	567090	+
2181.1	CCNA_03712	3877681	3878295	-
2273	CCNA_03858	4021713	4022204	+
246	CCNA_00440	447518	447805	+
1903	CCNA_03227	3389735	3392125	-
853	CCNA_01480	1588441	1588848	+
76	CCNA_00139	150993	152600	-
450	CCNA_00790	853699	854076	+
2236	CCNA_03792	3956266	3956886	-
1780	CCNA_03052	3206175	3207347	-
696	CCNA_01185	1304093	1304443	-
1801	CCNA_03082	3229845	3230597	-
1757	CCNA_03005	3159067	3159513	+
1748	CCNA_02993	3145387	3146679	-
2291	CCNA_03892	1627539	1628183	-
924	CCNA_01590	1709381	1711732	+
1153	CCNA_02033	2177095	2177472	-
337	CCNA_00608	645702	647285	+
1294	CCNA_02248	2397073	2397162	-
1142	CCNA_01977	2121781	2122371	+
964	CCNA_01656	1777143	1778120	-
1949	CCNA_03302	3478474	3479457	-
2384	CCNA_03894	2003815	2005050	-
953.1	CCNA_01638	1758142	1759530	+
1311	CCNA_02270	2423096	2423605	-
212	CCNA_00383	399852	400487	-
1342	CCNA_02324	2465823	2466731	-
1930	CCNA_03276	3442782	3443771	+
1234	CCNA_02164	2318142	2319203	-
1952	CCNA_03311	3487017	3487334	-
1566	CCNA_02704	2859445	2861721	+
1511	CCNA_02614	2761679	2762686	-
291	CCNA_00528	540844	541626	+
809	CCNA_01404	1521840	1523918	+
698	CCNA_01188	1305737	1306660	+
1518	CCNA_02624	2773477	2774802	-
1147.1	CCNA_01989	2135120	2135599	-
322	CCNA_00583	611838	613205	-
2280	CCNA_03873	4036307	4036564	-
1677	CCNA_02886	3034597	3034986	+
2044	CCNA_03461	3624145	3624564	-
333	CCNA_00604	640131	641012	+
1477	CCNA_02560	2706854	2707492	-
225	CCNA_00404	420699	421214	+
2256	CCNA_03824	3989897	3991405	+
1392	CCNA_02399	2541255	2542061	-
318	CCNA_00574	596740	599052	+
909	CCNA_01570	1687082	1688644	+
1345	CCNA_02328	2470434	2470955	+
1951	CCNA_03309	3485294	3486370	+
1665	CCNA_02867	3019649	3020155	-
1365	CCNA_02358	2498072	2498596	-
2366	CCNA_03915	177944	178090	+
2187	CCNA_03724	3891918	3892646	+
987	CCNA_01700	1831698	1832939	+
2169.1	CCNA_03698	3865250	3865684	+
290.1	CCNA_00527	540157	540663	+
447	CCNA_00787	850554	851420	-
722	CCNA_01234	1361248	1362339	+
351	CCNA_00633	679391	680467	+
1101	CCNA_01908	2053105	2053920	-
400	CCNA_03933	774018	774278	-
667	CCNA_01140	1243292	1244899	-
764	CCNA_01326	1441093	1442448	+
431	CCNA_00766	823602	824180	-
734	CCNA_01257	1384556	1385512	-
1153.1	CCNA_02007	2154264	2155544	-
1177	CCNA_02068	2219512	2219865	-
137	CCNA_00252	263784	265745	-
1368	CCNA_02364	2502736	2505081	-
80	CCNA_00149	159096	159323	+
2199	CCNA_03738	3907410	3909197	+
2268	CCNA_03845	4011623	4012525	-
2372	CCNA_03886	609287	611065	-
632	CCNA_01082	1185664	1186698	-
1684	CCNA_02893	3040378	3042063	-
723	CCNA_01235	1362403	1363035	+
175	CCNA_00323	336631	337728	+
933.5	CCNA_03956	1845242	1845427	-
580	CCNA_01003	1084761	1085081	-
1060	CCNA_01832	1961197	1963485	+
1140	CCNA_01973	2118945	2119154	-
2294	CCNA_03469	3635003	3636805	-
1830	CCNA_03120	3268075	3268551	+
183.1	CCNA_00339	350788	352104	+
1798	CCNA_03077	3227958	3228143	+
2124	CCNA_03609	3762727	3763932	-
1847	CCNA_03146	3298839	3300800	+
1402	CCNA_02414	2558192	2559208	-
1931	CCNA_03277	3443992	3445041	-
734	CCNA_01258	1385509	1386171	-
1505	CCNA_02606	2751246	2753765	-
2068	CCNA_03503	3660813	3661454	-
1153	CCNA_02020	2167336	2167827	-
1153	CCNA_02026	2173025	2173249	-
1848	CCNA_03147	3300889	3301518	+
900	CCNA_01554	1669091	1670539	-
1609	CCNA_02773	2932755	2933504	+
1211	CCNA_02125	2276272	2279196	-
1893	CCNA_03210	3373019	3373972	+
781	CCNA_01354	1468212	1469198	-
1227	CCNA_02155	2310846	2312024	+
1507	CCNA_02609	2755878	2756816	+
1841	CCNA_03138	3286001	3288217	+
2106	CCNA_03578	3735005	3736852	+
1856	CCNA_03158	3313511	3314464	+
1036	CCNA_01789	1916649	1917164	-
1469	CCNA_02543	2692233	2692400	+
389	CCNA_00708	765182	767110	-
849	CCNA_01470	1577274	1578140	+
2136	CCNA_03629	3785533	3786246	-
372	CCNA_00686	741897	743330	+
30	CCNA_00069	70801	71904	-
529	CCNA_00924	1001739	1002017	-
2280.1	CCNA_03871	4032935	4034791	-
2235	CCNA_03791	3955605	3956165	-
1797	CCNA_03075	3224885	3225436	+
560	CCNA_00973	1050375	1050782	-
2028	CCNA_03436	3600007	3602292	+
363	CCNA_00666	723091	723444	+
12	CCNA_00023	23742	24074	+
950	CCNA_01627	1748329	1748730	+
1628	CCNA_02802	2959375	2959686	+
1330	CCNA_02304	2449310	2450335	+
1353	CCNA_02342	2481416	2482681	-
329.1	CCNA_00592	621804	622871	-
2398	CCNA_03943	920475	920636	+
2393	CCNA_03910	3815979	3816086	-
1350	CCNA_02337	2477793	2478101	-
978	CCNA_01685	1812515	1812844	-
2138	CCNA_03633	3787860	3788231	+
1183	CCNA_02084	2233532	2234356	-
1447	CCNA_02503	2652825	2653583	+
747	CCNA_01279	1404999	1405781	-
2040	CCNA_03456	3619646	3620482	+
786	CCNA_01365	1481196	1481714	-
1730	CCNA_02964	3119851	3120858	+
341	CCNA_00613	654176	655519	-
1470	CCNA_02544	2692471	2692743	-
429	CCNA_00764	822151	822897	-
204	CCNA_00368	384831	385667	+
2013	CCNA_03408	3575785	3576702	-
794	CCNA_01379	1493232	1494683	+
1768	CCNA_03029	3183958	3184695	-
351	CCNA_00632	679026	679394	+
1464	CCNA_02537	2684623	2686905	+
125	CCNA_00229	244790	245764	+
532	CCNA_00929	1005247	1006242	+
726	CCNA_01241	1366756	1367472	-
280	CCNA_00507	522241	523086	+
1458.1	CCNA_02528	2676573	2677229	+
714	CCNA_01216	1342538	1343455	-
1294	CCNA_02249	2397237	2397635	-
1051	CCNA_01822	1948350	1949762	-
1562	CCNA_02693	2846063	2848015	-
1770	CCNA_03032	3186588	3187988	-
1369	CCNA_02366	2507554	2509065	-
1691	CCNA_02903	3058970	3060181	+
517	CCNA_00898	976253	977020	-
521	CCNA_00911	991329	991919	-
197	CCNA_00357	373511	374938	+
1842	CCNA_03139	3288469	3290322	-
508	CCNA_00888	966956	967309	+
1285	CCNA_02237	2385974	2388190	+
1970.1	CCNA_03340	3521551	3522069	-
1045	CCNA_01800	1924985	1926337	+
764	CCNA_01307	1432432	1433070	+
863	CCNA_01497	1606954	1607955	+
1424	CCNA_02446	2587166	2588329	-
1576	CCNA_02723	2885831	2886376	+
36	CCNA_00082	85222	86880	-
1373	CCNA_02370	2514140	2516905	+
2190	CCNA_03727	3895656	3896642	+
32	CCNA_00075	78703	79908	-
409	CCNA_00734	791491	792399	+
2005	CCNA_03397	3568610	3568840	-
1274	CCNA_02219	2365451	2366239	+
50	CCNA_00102	113151	113375	+
1867	CCNA_03173	3332903	3333379	+
374	CCNA_00689	745305	747635	+
1615	CCNA_02781	2939350	2939946	+
1448	CCNA_02506	2656074	2656214	-
1686	CCNA_02896	3047214	3048722	+
184	CCNA_00340	352434	353633	+
2093	CCNA_03553	3710008	3710526	+
1552	CCNA_02677	2830324	2830938	+
132	CCNA_00243	256412	256810	-
635	CCNA_01086	1191305	1193113	-
2223	CCNA_03773	3940458	3941633	-
1307	CCNA_02266	2419189	2420253	+
192	CCNA_00352	368358	369155	-
1326	CCNA_02296	2442876	2444141	+
53	CCNA_00106	116834	118099	+
432	CCNA_00768	824776	825000	+
2045	CCNA_03464	3627738	3628103	-
902	CCNA_01560	1676914	1679643	+
1596	CCNA_02748	2910262	2910510	+
856	CCNA_01486	1592713	1593723	-
1522	CCNA_02631	2781597	2781770	-
382	CCNA_00699	758081	758380	+
2212	CCNA_03757	3926971	3928056	-
1447	CCNA_02499	2648692	2649006	+
1442	CCNA_02479	2623910	2625010	-
998	CCNA_01730	1858257	1859759	-
590	CCNA_01022	1108366	1109898	+
856	CCNA_01485	1591536	1592672	-
1207	CCNA_02120	2270198	2271166	-
61	CCNA_00117	127915	129735	+
1366	CCNA_02362	2501722	2502216	-
226	CCNA_00406	422170	422538	-
2093	CCNA_03554	3710527	3711843	+
1317	CCNA_02280	2430307	2430867	+
1762	CCNA_03016	3168696	3169193	-
28	CCNA_00063	64529	66091	-
282	CCNA_00509	523993	524526	-
2262	CCNA_03836	4001960	4002472	-
16	CCNA_00032	34699	34941	-
1713	CCNA_02938	3098699	3099274	+
852	CCNA_01478	1585598	1586344	-
2053	CCNA_03476	3640797	3641246	+
592	CCNA_01025	1112124	1112747	-
1156	CCNA_02037	2181072	2183471	-
451	CCNA_00792	855026	856210	-
1254	CCNA_02198	2347464	2348474	-
361	CCNA_00663	719608	719943	-
180	CCNA_00330	341832	342602	-
2087	CCNA_03537	3695782	3696135	+
1516	CCNA_02621	2768606	2769535	+
521	CCNA_00910	990076	991266	-
455	CCNA_00802	867576	867695	+
48	CCNA_00096	107402	108280	+
1100	CCNA_01903	2045412	2046251	+
1446	CCNA_02496	2644382	2645956	-
2243	CCNA_03805	3970256	3970834	-
1970.1	CCNA_03338	3519403	3520734	-
1646	CCNA_02832	2985866	2987134	+
720	CCNA_01231	1358738	1359754	+
251	CCNA_00455	461992	464661	+
111	CCNA_00209	223353	224927	-
456	CCNA_00803	867854	868309	+
878	CCNA_01523	1631535	1632116	-
2026	CCNA_03432	3595609	3596454	-
663	CCNA_01133	1237868	1238398	-
1608	CCNA_02767	2927176	2928432	-
1009.1	CCNA_01753	1880687	1881328	+
668	CCNA_01141	1245163	1246233	+
1009.1	CCNA_01751	1878709	1879809	+
2401	CCNA_03949	1529253	1529711	-
631	CCNA_01080	1184254	1184817	+
1328	CCNA_02302	2448029	2448739	+
196	CCNA_00356	372638	373402	+
1071	CCNA_01852	1983992	1985332	+
762	CCNA_01300	1425640	1426458	+
1488	CCNA_02576	2727918	2728676	+
1221	CCNA_02147	2304546	2304875	+
1699	CCNA_02914	3071642	3073273	+
1348	CCNA_02333	2474478	2475422	-
258	CCNA_00469	482231	483454	-
1716	CCNA_02942	3102130	3103299	+
1014	CCNA_01760	1887107	1889536	-
1739	CCNA_02980	3135581	3136372	-
104	CCNA_00199	212387	214267	+
239	CCNA_00430	437556	437741	-
281	CCNA_00508	523154	523927	-
1617	CCNA_02786	2944022	2944723	+
700	CCNA_01190	1309772	1311301	+
1608	CCNA_02769	2929409	2930173	-
2272	CCNA_03856	4019778	4020965	-
2050	CCNA_03472	3638700	3638969	+
995	CCNA_01723	1849599	1850426	+
948	CCNA_01624	1745014	1745598	+
950	CCNA_01628	1748742	1749035	+
2271	CCNA_03853	4017928	4018710	+
870	CCNA_01509	1619099	1620214	-
1393	CCNA_02401	2543511	2544563	+
659	CCNA_01124	1229340	1230383	-
693	CCNA_01180	1299008	1301185	-
519	CCNA_00901	980770	981606	-
30	CCNA_00068	69794	70804	-
173	CCNA_00319	334224	334757	-
1410	CCNA_02426	2569003	2570064	-
72	CCNA_00131	141119	141541	+
470	CCNA_00832	897582	898481	-
186	CCNA_00345	359343	360176	-
2096	CCNA_03558	3714018	3714278	-
429	CCNA_00762	820861	821205	-
2198	CCNA_03736	3906631	3906945	+
229	CCNA_00409	424406	424450	+
378	CCNA_00694	751775	754342	-
201	CCNA_00364	380179	381273	-
2077	CCNA_03525	3683011	3683352	-
3	CCNA_00007	4960	5235	+
1525	CCNA_02635	2786329	2787501	-
136	CCNA_00250	261642	262904	+
792	CCNA_01373	1487512	1488318	+
1991	CCNA_03377	3550214	3550669	-
484	CCNA_00850	923136	926291	-
1667	CCNA_02872	3022019	3023239	-
1	CCNA_00001	202	1107	+
906	CCNA_01567	1683567	1684652	+
567	CCNA_00986	1066823	1067782	+
1870	CCNA_03179	3338152	3339429	+
548	CCNA_00958	1035956	1037278	-
1678	CCNA_02887	3035216	3036025	+
1564	CCNA_02697	2851063	2851479	+
131	CCNA_00238	253207	254811	+
1657	CCNA_02859	3011594	3011953	-
816	CCNA_01417	1534788	1536014	+
2029	CCNA_03438	3602833	3603162	-
1710	CCNA_02934	3094127	3094828	+
1565	CCNA_02701	2854982	2857321	-
927	CCNA_01594	1715035	1715901	-
615	CCNA_01056	1156159	1157466	-
634	CCNA_01085	1190105	1191112	-
1443	CCNA_02484	2631756	2632583	-
788	CCNA_01367	1482331	1483221	+
1558	CCNA_02687	2840372	2841652	+
2008	CCNA_03402	3571232	3572206	-
895	CCNA_01547	1659435	1661144	+
274	CCNA_00494	511566	512027	+
1767	CCNA_03027	3181645	3182982	+
1236	CCNA_02170	2322614	2323237	-
2149	CCNA_03662	3822013	3822399	-
1714	CCNA_02939	3099431	3099787	+
638	CCNA_01093	1198666	1198962	-
1007	CCNA_01747	1875173	1875913	+
1153	CCNA_02028	2173934	2174266	-
1291	CCNA_03964	2394598	2394657	-
623	CCNA_01071	1177299	1178732	-
1972	CCNA_03348	3528025	3528981	+
1714	CCNA_02940	3099784	3101388	+
1014	CCNA_01762	1890632	1891771	-
1948	CCNA_03299	3472717	3474228	+
150	CCNA_00266	279599	280837	-
1808	CCNA_03090	3239258	3240220	-
817	CCNA_01418	1536112	1536558	-
1695	CCNA_02909	3064800	3066293	+
1564	CCNA_02695	2849457	2849675	+
982	CCNA_01693	1820814	1821710	-
1482	CCNA_02568	2719265	2720245	+
866	CCNA_01502	1613345	1614289	+
61	CCNA_00120	132435	132953	+
1750	CCNA_02995	3150659	3151312	+
1059	CCNA_01831	1959650	1961173	+
1445	CCNA_02489	2637121	2637768	+
1410	CCNA_02425	2568833	2569006	-
160	CCNA_00286	297735	298193	-
1901	CCNA_03223	3386049	3386657	+
1543	CCNA_02666	2819873	2820208	+
246	CCNA_00450	454858	455328	+
849	CCNA_01473	1580130	1582304	+
620	CCNA_01064	1167891	1169006	+
1564	CCNA_02698	2851489	2852460	+
64	CCNA_00123	133900	134682	+
18	CCNA_00038	40828	41403	-
1337	CCNA_02316	2460427	2460942	-
146	CCNA_00262	274921	275793	+
331	CCNA_00597	628523	631663	+
574	CCNA_00995	1077242	1078576	+
454	CCNA_00798	861294	862892	-
184	CCNA_00343	357720	358928	+
1665	CCNA_02869	3020328	3020612	-
2085	CCNA_03533	3690375	3692168	-
937	CCNA_01607	1726781	1727500	+
2067	CCNA_03499	3656850	3657158	+
162	CCNA_00290	301048	304305	-
172	CCNA_00318	333179	334138	+
1790	CCNA_03064	3216404	3216766	-
384	CCNA_00701	761611	761820	+
2144	CCNA_03644	3803238	3803645	-
724	CCNA_01237	1363329	1363481	-
124	CCNA_00227	243490	244056	-
1187	CCNA_02091	2239178	2240098	+
846	CCNA_01464	1572066	1572383	-
1657	CCNA_02858	3010290	3011597	-
1273.1	CCNA_02216	2363669	2363959	-
1153	CCNA_02018	2166334	2166639	-
1929	CCNA_03275	3442706	3442846	-
1440	CCNA_02475	2620049	2620783	-
1675	CCNA_02883	3031082	3032707	-
95	CCNA_00174	189809	191020	+
1684	CCNA_02894	3042233	3043390	-
310	CCNA_00556	571546	573063	+
989	CCNA_01707	1839457	1840005	+
832	CCNA_01441	1553343	1553816	+
894	CCNA_01546	1656352	1658577	-
401	CCNA_00720	775596	777776	+
2242	CCNA_03803	3968758	3969843	+
256	CCNA_00466	479191	480435	+
72	CCNA_00133	142680	143894	+
351	CCNA_00630	676286	678580	+
2018	CCNA_03419	3585336	3585836	+
1918	CCNA_03257	3428458	3429000	+
915	CCNA_01579	1695303	1696811	+
2271	CCNA_03851	4016565	4017206	+
163.1	CCNA_00295	309660	310352	+
1434	CCNA_02462	2604354	2604671	+
414	CCNA_00742	799937	800797	-
1290	CCNA_02244	2393276	2394553	-
208	CCNA_00377	391953	395396	-
1973	CCNA_03349	3528978	3529166	-
1060	CCNA_01833	1963485	1964894	+
1962	CCNA_03322	3502629	3504209	-
1220	CCNA_02144	2302316	2303119	+
1565	CCNA_02700	2853848	2854864	-
406	CCNA_00729	785054	786358	+
168	CCNA_00303	317027	318034	-
2144	CCNA_03643	3802816	3803271	-
97	CCNA_00183	196250	197011	-
400	CCNA_03931	773437	773730	-
2361	CCNA_02907	3063015	3063950	+
1279	CCNA_02230	2376868	2377827	-
1045	CCNA_01805	1928791	1930191	+
1187	CCNA_02090	2238341	2239129	+
847	CCNA_01465	1572606	1574201	+
351	CCNA_00634	680464	681294	+
1087	CCNA_01879	2018600	2019703	+
2258	CCNA_03826	3991771	3992325	-
1262	CCNA_02206	2354280	2354843	+
1383	CCNA_02386	2529502	2530725	-
474	CCNA_00836	902191	903012	+
282	CCNA_00512	525945	527045	-
994	CCNA_01719	1847722	1848030	+
2294	CCNA_03909	3636802	3637524	-
2059	CCNA_03484	3646621	3647085	-
31	CCNA_00072	73680	74576	+
2172	CCNA_03699	3865772	3868618	+
799	CCNA_01385	1502307	1503038	+
1416	CCNA_02435	2575695	2576984	-
2067	CCNA_03497	3656061	3656513	+
343	CCNA_00618	661761	663179	+
241	CCNA_00432	438156	438650	-
1241	CCNA_02178	2329001	2329906	+
1050	CCNA_01819	1945962	1946210	+
459	CCNA_00809	872590	873585	-
19	CCNA_00044	48271	48846	-
2090.1	CCNA_03546	3702556	3703077	+
395	CCNA_03926	770292	770423	-
2390	CCNA_03904	3153169	3153333	+
1947	CCNA_03298	3469206	3472583	-
1543	CCNA_02665	2818761	2819873	+
1067	CCNA_01841	1972490	1974109	+
1867	CCNA_03174	3333430	3334809	+
1609.1	CCNA_02774	2933639	2934097	+
690	CCNA_01177	1295998	1297656	+
1273.1	CCNA_02215	2362451	2363662	-
747	CCNA_01280	1405813	1406898	-
49.1	CCNA_00098	108943	109233	-
152	CCNA_00271	285270	285422	+
2240	CCNA_03797	3960736	3961167	-
586	CCNA_01017	1098179	1099771	+
1866	CCNA_03172	3331958	3332722	-
1617	CCNA_02787	2944736	2945245	+
942	CCNA_01614	1735447	1735962	+
581	CCNA_01004	1085196	1085639	+
1833	CCNA_03126	3272461	3274521	+
2073	CCNA_03516	3672702	3673721	-
1723	CCNA_02954	3113547	3114398	+
1070	CCNA_01849	1980075	1980701	-
1404	CCNA_02416	2560136	2560414	+
1498	CCNA_02594	2742178	2743128	-
1873.1	CCNA_03183	3342290	3343900	-
679	CCNA_03946	1266917	1266961	+
1497	CCNA_02593	2741733	2742110	-
54	CCNA_00109	119160	120059	-
439	CCNA_00778	837946	839778	-
2266	CCNA_03840	4006251	4007795	-
585	CCNA_01016	1096995	1097903	+
1437	CCNA_02469	2611950	2612546	+
2288	CCNA_00579	604210	606009	-
890	CCNA_01541	1650282	1651178	+
1344	CCNA_02327	2469374	2470195	-
1153	CCNA_02024	2171439	2172758	-
