operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	P1	P2	P3	P4	TSS type	number of TSS	internal 	flag	non-coding	RNA
79	CCNA_00147	CCNA_00147	158354	158470	+	n	158298	x	x	x	POTENTIAL	1	n	simple	0	x
80	CCNA_00148	CCNA_00149	158546	159323	+	y	158298	x	x	x	POTENTIAL	1	n	simple	0	x
83	CCNA_00152	CCNA_00153	161320	163035	+	y	161242	x	x	x	TRUE	1	y	complex	0	x
85	CCNA_00155	CCNA_00156	163413	164951	+	y	163343	x	x	x	TRUE	1	n	simple	0	x
85.1	CCNA_00157	CCNA_00157	165022	165393	+	n	165000	x	x	x	TRUE	1	n	simple	0	x
86	CCNA_00158	CCNA_00159	165621	169246	+	y	165621	x	x	x	POTENTIAL	1	n	simple	0	x
87	CCNA_00160	CCNA_00160	169387	170526	+	n	x	x	x	x	NO	0	n	simple	0	x
88	CCNA_00161	CCNA_00161	170951	171577	+	n	170741	170748	170951	x	TRUE	multiple	n	complex	0	x
89	CCNA_00162	CCNA_00164	171649	177098	+	y	x	x	x	x	NO	0	n	simple	0	x
2366	CCNA_03915	CCNA_03915	177944	178090	+	n	177823	177930	x	x	TRUE	multiple	n	complex	0	x
92	CCNA_00167	CCNA_00167	179311	180120	+	n	179292	x	x	x	TRUE	1	y	complex	0	x
92.1	CCNA_00168	CCNA_00168	180205	180801	+	n	180165	x	x	x	TRUE	1	n	simple	0	x
93	CCNA_00169	CCNA_00169	181379	182917	+	n	x	x	x	x	NO	0	n	simple	0	x
94	CCNA_00170	CCNA_00170	182997	185663	+	n	x	x	x	x	NO	0	n	simple	0	x
95	CCNA_00171	CCNA_00182	185853	196140	+	y	x	x	x	x	NO	0	y	complex	0	x
99	CCNA_00189	CCNA_00191	203869	205173	+	y	203820	x	x	x	TRUE	1	n	simple	0	x
104	CCNA_00199	CCNA_00199	212387	214267	+	n	212363	x	x	x	TRUE	1	n	simple	0	x
106	CCNA_00201	CCNA_00201	215418	216098	+	n	x	x	x	x	NO	0	n	simple	0	x
107	CCNA_00202	CCNA_00203	216215	218332	+	y	216190	x	x	x	TRUE	1	n	simple	0	x
109	CCNA_00206	CCNA_00207	220931	222282	+	y	220865	220894	x	x	TRUE	multiple	n	complex	0	x
112	CCNA_00210	CCNA_00213	225115	230116	+	y	225058	x	x	x	TRUE	1	y	complex	0	x
113	CCNA_00214	CCNA_00214	230262	232307	+	n	230205	x	x	x	TRUE	1	y	complex	0	x
114	CCNA_00215	CCNA_00215	232614	233402	+	n	232550	x	x	x	TRUE	1	y	complex	0	x
116	CCNA_00217	CCNA_00217	233977	236127	+	n	x	x	x	x	NO	0	y	complex	0	x
118	CCNA_00220	CCNA_00220	237030	237635	+	n	x	x	x	x	NO	0	n	simple	0	x
120	CCNA_00222	CCNA_00223	238241	240651	+	y	x	x	x	x	NO	0	n	simple	0	x
122	CCNA_00225	CCNA_00225	243024	243056	+	n	243002	x	x	x	POTENTIAL	1	n	simple	0	x
123	CCNA_00226	CCNA_00226	243157	243432	+	n	243002	x	x	x	POTENTIAL	1	n	simple	0	x
125	CCNA_00229	CCNA_00229	244790	245764	+	n	x	x	x	x	NO	0	n	simple	0	x
127	CCNA_00231	CCNA_00231	247055	247540	+	n	246989	x	x	x	TRUE	1	n	simple	0	x
129	CCNA_00233	CCNA_00234	248082	250276	+	y	248014	248025	x	x	TRUE	multiple	y	complex	0	x
131	CCNA_00237	CCNA_00239	252525	255242	+	y	252437	x	x	x	TRUE	1	y	complex	0	x
131.1	CCNA_00240	CCNA_00241	255318	256000	+	y	255224	x	x	x	TRUE	1	n	simple	0	x
133	CCNA_00244	CCNA_00246	256953	258737	+	y	256932	x	x	x	POTENTIAL	1	n	simple	0	x
136	CCNA_00249	CCNA_00251	260971	263672	+	y	260870	x	x	x	TRUE	1	y	complex	0	x
138	CCNA_00253	CCNA_00253	265999	267027	+	n	265957	x	x	x	TRUE	1	n	simple	0	x
139	CCNA_00254	CCNA_00254	267164	268066	+	n	x	x	x	x	NO	0	n	simple	0	x
145	CCNA_00261	CCNA_00261	273695	274738	+	n	273656	x	x	x	TRUE	1	n	simple	0	x
146	CCNA_00262	CCNA_00262	274921	275793	+	n	x	x	x	x	NO	0	n	simple	0	x
149	CCNA_00265	CCNA_00265	278017	279471	+	n	278017	x	x	x	POTENTIAL	1	y	complex	0	x
2303	CCNA_00268	CCNA_00270	282130	285160	+	y	281946	x	x	x	TRUE	1	y	complex	0	x
152	CCNA_00271	CCNA_00273	285270	287295	+	y	285227	x	x	x	TRUE	1	y	complex	0	x
153	CCNA_00274	CCNA_00274	287636	287998	+	n	287636	x	x	x	TRUE	1	n	simple	0	x
156	CCNA_00277	CCNA_00279	290161	292901	+	y	290161	x	x	x	TRUE	1	n	simple	0	x
158	CCNA_00282	CCNA_00282	294659	294991	+	n	294645	x	x	x	TRUE	1	n	simple	0	x
163	CCNA_00291	CCNA_00291	304469	305884	+	n	304431	x	x	x	TRUE	1	y	complex	0	x
163.1	CCNA_00292	CCNA_00296	306029	311066	+	y	305769	x	x	x	TRUE	1	n	simple	0	x
165	CCNA_00299	CCNA_00299	312678	313961	+	n	312678	x	x	x	TRUE	1	n	simple	0	x
167	CCNA_00301	CCNA_00302	314615	316991	+	y	314588	x	x	x	TRUE	1	y	complex	0	x
169	CCNA_00308	CCNA_00308	323024	323689	+	n	x	x	x	x	NO	0	y	complex	0	x
172	CCNA_00318	CCNA_00318	333179	334138	+	n	333080	x	x	x	TRUE	1	n	simple	0	x
175	CCNA_00322	CCNA_00323	335959	337728	+	y	335761	x	x	x	TRUE	1	n	simple	0	x
177	CCNA_00326	CCNA_00326	338634	339665	+	n	338634	x	x	x	POTENTIAL	1	n	simple	0	x
179	CCNA_00328	CCNA_00329	340575	341825	+	y	340560	x	x	x	TRUE	1	n	simple	0	x
181	CCNA_00331	CCNA_00332	342674	344109	+	y	x	x	x	x	NO	0	n	simple	0	x
183	CCNA_00334	CCNA_00338	345020	350719	+	y	x	x	x	x	NO	0	y	complex	0	x
183.1	CCNA_00339	CCNA_00339	350788	352104	+	n	350719	350728	x	x	TRUE	multiple	n	complex	0	x
184	CCNA_00340	CCNA_00343	352434	358928	+	y	352401	x	x	x	TRUE	1	y	complex	0	x
185	CCNA_00344	CCNA_00344	358988	359335	+	n	x	x	x	x	NO	0	n	simple	0	x
187	CCNA_00346	CCNA_00346	360419	361819	+	n	360335	x	x	x	TRUE	1	n	simple	0	x
188	CCNA_00347	CCNA_00347	361909	362088	+	n	x	x	x	x	NO	0	n	simple	0	x
191	CCNA_00351	CCNA_00351	366112	368271	+	n	366112	x	x	x	POTENTIAL	1	n	simple	0	x
193	CCNA_00353	CCNA_00353	369280	370374	+	n	369178	x	x	x	TRUE	1	n	simple	0	x
194	CCNA_00354	CCNA_00354	370445	371152	+	n	370413	370420	x	x	TRUE	multiple	n	complex	0	x
195	CCNA_00355	CCNA_00355	371323	372567	+	n	x	x	x	x	NO	0	n	simple	0	x
196	CCNA_00356	CCNA_00356	372638	373402	+	n	372614	x	x	x	TRUE	1	n	simple	0	x
197	CCNA_00357	CCNA_00357	373511	374938	+	n	373496	x	x	x	TRUE	1	n	simple	0	x
200	CCNA_00359	CCNA_00360	375919	377806	+	y	375821	375829	x	x	TRUE	multiple	n	complex	0	x
204	CCNA_00366	CCNA_00368	383009	385667	+	y	382974	x	x	x	POTENTIAL	1	n	simple	0	x
205	CCNA_00369	CCNA_00369	385817	387130	+	n	385754	x	x	x	POTENTIAL	1	n	simple	0	x
2368	CCNA_03918	CCNA_03918	387425	387559	+	n	387425	x	x	x	POTENTIAL	1	n	simple	0	x
207	CCNA_00375	CCNA_00376	390599	391838	+	y	390576	x	x	x	TRUE	1	n	simple	0	x
210	CCNA_00381	CCNA_00381	397466	398515	+	n	397466	x	x	x	POTENTIAL	1	n	simple	0	x
213	CCNA_00384	CCNA_00385	400574	402861	+	y	400574	x	x	x	TRUE	1	n	simple	0	x
215	CCNA_00387	CCNA_00387	403575	403997	+	n	x	x	x	x	NO	0	n	simple	0	x
218	CCNA_00390	CCNA_00391	405999	407767	+	y	x	x	x	x	NO	0	n	simple	0	x
219	CCNA_00392	CCNA_00392	407848	409182	+	n	407825	x	x	x	TRUE	1	n	simple	0	x
221	CCNA_00395	CCNA_00395	411052	412842	+	n	411052	x	x	x	POTENTIAL	1	n	simple	0	x
223	CCNA_00397	CCNA_00397	413741	415279	+	n	413723	x	x	x	POTENTIAL	1	n	simple	0	x
225	CCNA_00399	CCNA_00405	416919	422068	+	y	416696	416883	x	x	TRUE	multiple	y	complex	0	x
227	CCNA_00407	CCNA_00407	422528	423007	+	n	422462	x	x	x	TRUE	1	n	simple	0	x
229	CCNA_00409	CCNA_00412	424406	426286	+	y	424385	x	x	x	TRUE	1	y	complex	0	x
229.1	CCNA_00413	CCNA_00414	426379	428354	+	y	426336	x	x	x	TRUE	1	n	simple	0	x
232	CCNA_00419	CCNA_00419	430733	431269	+	n	430669	x	x	x	POTENTIAL	1	y	complex	0	x
234	CCNA_00423	CCNA_00423	433404	433874	+	n	x	x	x	x	NO	0	n	simple	0	x
235	CCNA_00424	CCNA_00424	434121	435560	+	n	434061	434097	x	x	TRUE	multiple	n	complex	0	x
237	CCNA_00426	CCNA_00426	436545	436889	+	n	436545	x	x	x	POTENTIAL	1	n	simple	0	x
238	CCNA_00427	CCNA_00429	436958	437550	+	y	x	x	x	x	NO	0	y	complex	0	x
240	CCNA_00431	CCNA_00431	437761	437883	+	n	x	x	x	x	NO	0	n	simple	0	x
242	CCNA_00433	CCNA_00434	438748	440003	+	y	x	x	x	x	NO	0	n	simple	0	x
243	CCNA_00435	CCNA_00436	440156	442865	+	y	440097	x	x	x	TRUE	1	n	simple	0	x
244	CCNA_00437	CCNA_00437	443064	444677	+	n	443054	x	x	x	TRUE	1	n	simple	0	x
246	CCNA_00439	CCNA_00450	445497	455328	+	y	445497	x	x	x	TRUE	1	y	complex	0	x
249	CCNA_00451	CCNA_00451	455598	458639	+	n	455306	x	x	x	TRUE	1	y	complex	0	x
251	CCNA_00455	CCNA_00455	461992	464661	+	n	461880	x	x	x	TRUE	1	n	simple	0	x
2304	CCNA_00456	CCNA_00458	464819	471415	+	y	x	x	x	x	NO	0	y	complex	1	CCNA_R0006
252	CCNA_00459	CCNA_00459	471542	472783	+	n	471473	x	x	x	TRUE	1	n	simple	0	x
253	CCNA_00460	CCNA_00460	473245	473400	+	n	x	x	x	x	NO	0	n	simple	0	x
2369	CCNA_03921	CCNA_03921	474254	474409	+	n	x	x	x	x	NO	0	n	simple	0	x
2370	CCNA_03998	CCNA_03998	475532	476800	+	n	475532	x	x	x	POTENTIAL	1	y	complex	0	x
254	CCNA_00464	CCNA_00464	477514	477678	+	n	x	x	x	x	NO	0	n	simple	0	x
255	CCNA_00465	CCNA_00465	477921	479033	+	n	477805	477863	477921	x	TRUE	multiple	n	complex	0	x
256	CCNA_00466	CCNA_00467	479191	481710	+	y	479167	x	x	x	TRUE	1	y	complex	0	x
2394	CCNA_03922	CCNA_03922	483798	484859	+	n	483744	x	x	x	TRUE	1	y	complex	0	x
264	CCNA_00479	CCNA_00479	495332	495655	+	n	495157	x	x	x	POTENTIAL	1	n	simple	0	x
266	CCNA_00481	CCNA_00482	497352	498855	+	y	x	x	x	x	NO	0	n	simple	0	x
269	CCNA_00486	CCNA_00486	502235	504724	+	n	x	x	x	x	NO	0	n	simple	0	x
270	CCNA_00487	CCNA_00487	504911	506605	+	n	504834	x	x	x	TRUE	1	n	simple	0	x
272	CCNA_00490	CCNA_00490	507838	508722	+	n	507795	x	x	x	TRUE	1	n	simple	0	x
274	CCNA_00492	CCNA_00497	509704	515224	+	y	509658	x	x	x	TRUE	1	y	complex	0	x
277	CCNA_00502	CCNA_00502	518474	519211	+	n	518474	x	x	x	TRUE	1	n	simple	0	x
278	CCNA_00503	CCNA_00503	519310	519732	+	n	519268	x	x	x	TRUE	1	n	simple	0	x
280	CCNA_00505	CCNA_00507	520398	523086	+	y	520210	x	x	x	TRUE	1	n	simple	0	x
2380	CCNA_03885	CCNA_03885	527284	527934	+	n	527256	x	x	x	TRUE	1	n	simple	0	x
284	CCNA_00514	CCNA_00514	528078	528908	+	n	528062	x	x	x	POTENTIAL	1	n	simple	0	x
285	CCNA_00515	CCNA_00515	529324	531657	+	n	x	x	x	x	NO	0	n	simple	0	x
290	CCNA_00526	CCNA_00526	539769	540026	+	n	539742	x	x	x	TRUE	1	n	simple	0	x
290.1	CCNA_00527	CCNA_00527	540157	540663	+	n	540099	x	x	x	TRUE	1	n	simple	0	x
291	CCNA_00528	CCNA_00529	540844	542231	+	y	x	x	x	x	NO	0	n	simple	0	x
292	CCNA_00530	CCNA_00531	542581	543528	+	y	542289	x	x	x	TRUE	1	y	complex	0	x
293	CCNA_00532	CCNA_00532	543952	544842	+	n	x	x	x	x	NO	0	n	simple	0	x
295	CCNA_00534	CCNA_00535	546314	547537	+	y	546230	x	x	x	POTENTIAL	1	y	complex	0	x
296	CCNA_00536	CCNA_00537	547831	556205	+	y	547606	547616	x	x	TRUE	multiple	n	complex	0	x
297	CCNA_00538	CCNA_00538	556424	558220	+	n	x	x	x	x	NO	0	y	complex	0	x
300	CCNA_00541	CCNA_00541	561036	561344	+	n	x	x	x	x	NO	0	n	simple	0	x
302	CCNA_00544	CCNA_00545	562579	564547	+	y	562481	562514	x	x	TRUE	multiple	n	complex	0	x
303	CCNA_00546	CCNA_00546	564671	565453	+	n	564671	x	x	x	TRUE	1	n	simple	0	x
304	CCNA_00547	CCNA_00550	565748	568052	+	y	565657	x	x	x	TRUE	1	n	simple	0	x
308	CCNA_00554	CCNA_00554	570238	571044	+	n	570218	x	x	x	TRUE	1	n	simple	0	x
309	CCNA_00555	CCNA_00555	571117	571461	+	n	571086	x	x	x	TRUE	1	n	simple	0	x
310	CCNA_00556	CCNA_00556	571546	573063	+	n	x	x	x	x	NO	0	n	simple	0	x
312	CCNA_00560	CCNA_00564	575815	579972	+	y	575815	x	x	x	TRUE	1	y	complex	0	x
316	CCNA_00571	CCNA_00572	589132	593513	+	y	x	x	x	x	NO	0	n	simple	0	x
317	CCNA_00573	CCNA_00573	593829	596600	+	n	x	x	x	x	NO	0	n	simple	0	x
318	CCNA_00574	CCNA_00576	596740	601420	+	y	x	x	x	x	NO	0	y	complex	0	x
320	CCNA_00578	CCNA_00578	601496	604033	+	n	x	x	x	x	NO	0	n	simple	0	x
321	CCNA_00582	CCNA_00582	611200	611757	+	n	611121	x	x	x	TRUE	1	n	simple	0	x
324	CCNA_00585	CCNA_00585	613324	614379	+	n	x	x	x	x	NO	0	n	simple	0	x
326	CCNA_00587	CCNA_00587	615934	617430	+	n	x	x	x	x	NO	0	n	simple	0	x
327	CCNA_00588	CCNA_00588	617604	617843	+	n	x	x	x	x	NO	0	n	simple	0	x
331	CCNA_00597	CCNA_00597	628523	631663	+	n	x	x	x	x	NO	0	n	simple	0	x
333	CCNA_03887	CCNA_00604	635047	641012	+	y	634996	x	x	x	TRUE	1	y	complex	0	x
336	CCNA_00607	CCNA_00607	642577	645570	+	n	x	x	x	x	NO	0	y	complex	0	x
337	CCNA_00608	CCNA_00608	645702	647285	+	n	x	x	x	x	NO	0	n	simple	0	x
338	CCNA_00609	CCNA_00610	647369	651031	+	y	x	x	x	x	NO	0	n	simple	0	x
339	CCNA_00611	CCNA_00611	651343	652815	+	n	651300	x	x	x	TRUE	1	y	complex	0	x
343	CCNA_00617	CCNA_00620	660731	665644	+	y	x	x	x	x	NO	0	n	simple	0	x
345	CCNA_00622	CCNA_00622	666621	666806	+	n	666600	x	x	x	TRUE	1	n	simple	0	x
346	CCNA_00623	CCNA_00623	666944	669151	+	n	666828	x	x	x	TRUE	1	n	simple	0	x
348	CCNA_00625	CCNA_00625	670498	670875	+	n	670486	x	x	x	TRUE	1	n	simple	0	x
351	CCNA_00629	CCNA_00634	674363	681294	+	y	674267	674275	x	x	TRUE	multiple	n	complex	0	x
352	CCNA_00635	CCNA_00636	682056	684388	+	y	681907	x	x	x	TRUE	1	y	complex	0	x
356	CCNA_00643	CCNA_00643	693356	693502	+	n	693113	x	x	x	POTENTIAL	1	n	simple	0	x
357	CCNA_00644	CCNA_00654	694013	708039	+	y	x	x	x	x	NO	0	n	simple	0	x
360	CCNA_00656	CCNA_00659	710696	717825	+	y	710675	x	x	x	TRUE	1	y	complex	0	x
362	CCNA_00664	CCNA_00664	720528	721781	+	n	720434	x	x	x	TRUE	1	n	simple	0	x
363	CCNA_00665	CCNA_00666	721949	723444	+	y	721847	721924	x	x	TRUE	multiple	n	complex	0	x
366	CCNA_00673	CCNA_00673	730781	731788	+	n	x	x	x	x	NO	0	n	simple	0	x
2309	CCNA_00679	CCNA_00679	735544	736479	+	n	x	x	x	x	NO	0	n	simple	0	x
370	CCNA_00682	CCNA_00682	738076	738534	+	n	738053	x	x	x	TRUE	1	n	simple	0	x
372	CCNA_00686	CCNA_00686	741897	743330	+	n	x	x	x	x	NO	0	n	simple	0	x
374	CCNA_00689	CCNA_00689	745305	747635	+	n	x	x	x	x	NO	0	n	simple	0	x
377	CCNA_00692	CCNA_00692	749166	751250	+	n	749100	749125	x	x	TRUE	multiple	y	complex	0	x
380	CCNA_00696	CCNA_00696	756229	756804	+	n	756229	x	x	x	POTENTIAL	1	n	simple	0	x
382	CCNA_00699	CCNA_00699	758081	758380	+	n	757978	758014	758022	x	TRUE	multiple	n	complex	0	x
384	CCNA_00701	CCNA_00701	761611	761820	+	n	761474	x	x	x	POTENTIAL	1	n	simple	0	x
2375	CCNA_03888	CCNA_03888	761965	762324	+	n	x	x	x	x	NO	0	n	simple	0	x
386	CCNA_00703	CCNA_00704	762427	762873	+	y	x	x	x	x	NO	0	n	simple	0	x
390	CCNA_00709	CCNA_00709	767218	767400	+	n	767181	x	x	x	POTENTIAL	1	n	simple	0	x
392	CCNA_00711	CCNA_00711	768833	769933	+	n	768792	x	x	x	TRUE	1	n	simple	0	x
401	CCNA_00719	CCNA_00720	774394	777776	+	y	774368	774374	x	x	TRUE	multiple	n	complex	0	x
403	CCNA_00723	CCNA_00724	780108	780749	+	y	779974	x	x	x	TRUE	1	n	simple	0	x
405	CCNA_00727	CCNA_00727	783127	783723	+	n	783127	x	x	x	TRUE	1	n	simple	0	x
406	CCNA_00728	CCNA_00729	783796	786358	+	y	783796	x	x	x	TRUE	1	n	simple	0	x
407	CCNA_00730	CCNA_00730	786434	787201	+	n	x	x	x	x	NO	0	n	simple	0	x
409	CCNA_00732	CCNA_00734	789387	792399	+	y	x	x	x	x	NO	0	y	complex	0	x
415	CCNA_00743	CCNA_00743	800944	801510	+	n	x	x	x	x	NO	0	n	simple	0	x
416	CCNA_00744	CCNA_00744	801752	802036	+	n	801752	x	x	x	TRUE	1	y	complex	0	x
417.5	CCNA_03935	CCNA_03935	802082	802519	+	n	x	x	x	x	NO	0	n	simple	0	x
419	CCNA_00748	CCNA_00749	805164	807384	+	y	805035	x	x	x	TRUE	1	n	simple	0	x
426	CCNA_00758	CCNA_00758	815435	816001	+	n	815371	815433	x	x	TRUE	multiple	n	complex	0	x
430	CCNA_00765	CCNA_00765	823153	823443	+	n	823105	823137	x	x	TRUE	multiple	n	complex	0	x
432	CCNA_03936	CCNA_00769	824706	825644	+	y	824683	x	x	x	TRUE	1	y	complex	0	x
433	CCNA_00770	CCNA_00770	825728	826336	+	n	825550	x	x	x	TRUE	1	n	simple	0	x
435	CCNA_00773	CCNA_00773	827458	828936	+	n	827442	x	x	x	TRUE	1	n	simple	0	x
436	CCNA_03937	CCNA_00774	829105	830426	+	y	829105	x	x	x	POTENTIAL	1	n	simple	0	x
440	CCNA_00779	CCNA_00779	840345	840746	+	n	840321	x	x	x	TRUE	1	n	simple	0	x
442	CCNA_00781	CCNA_00781	841838	842194	+	n	841804	x	x	x	TRUE	1	n	simple	0	x
445	CCNA_00784	CCNA_00784	846681	847904	+	n	846628	x	x	x	TRUE	1	n	simple	0	x
448	CCNA_00788	CCNA_00788	851554	852870	+	n	851462	x	x	x	TRUE	1	n	simple	0	x
450	CCNA_00790	CCNA_00790	853699	854076	+	n	853682	853699	x	x	POTENTIAL	multiple	n	simple	0	x
2396	CCNA_03939	CCNA_03939	854395	854685	+	n	x	x	x	x	NO	0	n	simple	0	x
452	CCNA_00793	CCNA_00793	856299	857666	+	n	x	x	x	x	NO	0	n	simple	0	x
453	CCNA_00794	CCNA_00794	857776	858969	+	n	x	x	x	x	NO	0	n	simple	0	x
454.5	CCNA_03940	CCNA_03940	861178	861285	+	n	861164	x	x	x	POTENTIAL	1	n	simple	0	x
455	CCNA_00800	CCNA_00802	864829	867695	+	y	864787	x	x	x	TRUE	1	n	simple	0	x
456	CCNA_00803	CCNA_00803	867854	868309	+	n	867799	x	x	x	TRUE	1	n	simple	0	x
466	CCNA_00827	CCNA_00827	888079	891006	+	n	x	x	x	x	NO	0	n	simple	0	x
467	CCNA_00828	CCNA_00828	891133	892647	+	n	891110	x	x	x	TRUE	1	y	complex	0	x
469	CCNA_00830	CCNA_00831	892954	897455	+	y	892718	x	x	x	POTENTIAL	1	y	complex	0	x
471	CCNA_00833	CCNA_00833	898620	899219	+	n	x	x	x	x	NO	0	n	simple	0	x
472	CCNA_00834	CCNA_00834	899662	900483	+	n	899599	x	x	x	TRUE	1	n	simple	0	x
473	CCNA_00835	CCNA_00835	901034	901855	+	n	900973	x	x	x	TRUE	1	n	simple	0	x
474	CCNA_00836	CCNA_00836	902191	903012	+	n	901970	902130	x	x	TRUE	multiple	n	complex	0	x
477	CCNA_00839	CCNA_00839	907095	909575	+	n	906966	x	x	x	POTENTIAL	1	n	simple	0	x
478	CCNA_00840	CCNA_00840	909868	911793	+	n	909868	x	x	x	POTENTIAL	1	n	simple	0	x
2398	CCNA_03943	CCNA_03943	920475	920636	+	n	920425	920433	x	x	TRUE	multiple	n	complex	1	CCNA_R0018
483	CCNA_00847	CCNA_00847	920836	921303	+	n	920662	x	x	x	TRUE	1	y	complex	0	x
485	CCNA_00852	CCNA_00852	927638	928252	+	n	x	x	x	x	NO	0	n	simple	0	x
487	CCNA_00854	CCNA_00854	929146	930738	+	n	x	x	x	x	NO	0	n	simple	0	x
491	CCNA_00858	CCNA_00858	935330	937543	+	n	935102	935271	x	x	POTENTIAL	multiple	n	simple	0	x
495	CCNA_00867	CCNA_00867	946004	946492	+	n	945983	x	x	x	POTENTIAL	1	n	simple	0	x
2381	CCNA_03889	CCNA_03889	946747	947268	+	n	946673	x	x	x	TRUE	1	n	simple	0	x
498	CCNA_00874	CCNA_00874	952833	953744	+	n	952831	x	x	x	POTENTIAL	1	n	simple	0	x
500	CCNA_00878	CCNA_00878	955220	956650	+	n	x	x	x	x	NO	0	n	simple	0	x
501	CCNA_00879	CCNA_00879	956807	959071	+	n	956765	956772	x	x	TRUE	multiple	n	complex	0	x
506	CCNA_00886	CCNA_00886	964937	966184	+	n	964868	x	x	x	TRUE	1	n	simple	0	x
507	CCNA_00887	CCNA_00887	966367	966831	+	n	x	x	x	x	NO	0	n	simple	0	x
508	CCNA_00888	CCNA_00888	966956	967309	+	n	966931	x	x	x	TRUE	1	n	simple	0	x
511	CCNA_00891	CCNA_00891	968889	969827	+	n	968889	x	x	x	POTENTIAL	1	n	simple	0	x
512	CCNA_00892	CCNA_00892	970314	972578	+	n	970233	x	x	x	TRUE	1	y	complex	0	x
513	CCNA_00893	CCNA_00893	972738	973802	+	n	972655	x	x	x	TRUE	1	n	simple	0	x
514	CCNA_00894	CCNA_00895	973984	975541	+	y	973984	x	x	x	TRUE	1	y	complex	0	x
516	CCNA_00897	CCNA_00897	976013	976177	+	n	975856	x	x	x	TRUE	1	n	simple	0	x
518	CCNA_00900	CCNA_00900	978293	980500	+	n	x	x	x	x	NO	0	n	simple	0	x
520	CCNA_00902	CCNA_00904	981935	985480	+	y	981885	x	x	x	TRUE	1	n	simple	0	x
523	CCNA_00915	CCNA_00915	993947	994708	+	n	993947	x	x	x	TRUE	1	n	simple	0	x
525	CCNA_00918	CCNA_00920	995336	997576	+	y	995336	x	x	x	POTENTIAL	1	y	complex	0	x
526	CCNA_00921	CCNA_00921	997744	998499	+	n	997714	x	x	x	POTENTIAL	1	n	simple	0	x
527	CCNA_00922	CCNA_00922	998598	1001177	+	n	998539	x	x	x	POTENTIAL	1	n	simple	0	x
528	CCNA_00923	CCNA_00923	1001397	1001729	+	n	1001397	x	x	x	TRUE	1	n	simple	0	x
532	CCNA_00929	CCNA_00932	1005247	1008525	+	y	1005247	x	x	x	POTENTIAL	1	y	complex	0	x
