operon_no.	locus_tag	start	end	sense
357	CCNA_00651	701776	704244	+
357	CCNA_00652	704241	704585	+
357	CCNA_00653	704586	707264	+
357	CCNA_00654	707254	708039	+
360	CCNA_00656	710696	712531	+
360	CCNA_00657	712528	713880	+
360	CCNA_00658	713877	714920	+
360	CCNA_00659	714931	717825	+
362	CCNA_00664	720528	721781	+
363	CCNA_00665	721949	723094	+
363	CCNA_00666	723091	723444	+
366	CCNA_00673	730781	731788	+
2309	CCNA_00679	735544	736479	+
370	CCNA_00682	738076	738534	+
372	CCNA_00686	741897	743330	+
374	CCNA_00689	745305	747635	+
377	CCNA_00692	749166	751250	+
380	CCNA_00696	756229	756804	+
382	CCNA_00699	758081	758380	+
384	CCNA_00701	761611	761820	+
2375	CCNA_03888	761965	762324	+
386	CCNA_00703	762427	762633	+
386	CCNA_00704	762676	762873	+
390	CCNA_00709	767218	767400	+
392	CCNA_00711	768833	769933	+
401	CCNA_00719	774394	775635	+
401	CCNA_00720	775596	777776	+
403	CCNA_00723	780108	780302	+
403	CCNA_00724	780321	780749	+
405	CCNA_00727	783127	783723	+
406	CCNA_00728	783796	784959	+
406	CCNA_00729	785054	786358	+
407	CCNA_00730	786434	787201	+
409	CCNA_00732	789387	790439	+
409	CCNA_00733	790499	791437	+
409	CCNA_00734	791491	792399	+
415	CCNA_00743	800944	801510	+
416	CCNA_00744	801752	802036	+
417.5	CCNA_03935	802082	802519	+
419	CCNA_00748	805164	805484	+
419	CCNA_00749	805489	807384	+
426	CCNA_00758	815435	816001	+
430	CCNA_00765	823153	823443	+
432	CCNA_03936	824706	824840	+
432	CCNA_00768	824776	825000	+
432	CCNA_00769	824997	825644	+
433	CCNA_00770	825728	826336	+
435	CCNA_00773	827458	828936	+
436	CCNA_03937	829105	829290	+
436	CCNA_00774	829317	830426	+
440	CCNA_00779	840345	840746	+
442	CCNA_00781	841838	842194	+
445	CCNA_00784	846681	847904	+
448	CCNA_00788	851554	852870	+
450	CCNA_00790	853699	854076	+
2396	CCNA_03939	854395	854685	+
452	CCNA_00793	856299	857666	+
453	CCNA_00794	857776	858969	+
454.5	CCNA_03940	861178	861285	+
455	CCNA_00800	864829	866391	+
455	CCNA_00801	866406	867557	+
455	CCNA_00802	867576	867695	+
456	CCNA_00803	867854	868309	+
466	CCNA_00827	888079	891006	+
467	CCNA_00828	891133	892647	+
469	CCNA_00830	892954	894603	+
469	CCNA_00831	894504	897455	+
471	CCNA_00833	898620	899219	+
472	CCNA_00834	899662	900483	+
473	CCNA_00835	901034	901855	+
474	CCNA_00836	902191	903012	+
477	CCNA_00839	907095	909575	+
478	CCNA_00840	909868	911793	+
2398	CCNA_03943	920475	920636	+
483	CCNA_00847	920836	921303	+
485	CCNA_00852	927638	928252	+
487	CCNA_00854	929146	930738	+
491	CCNA_00858	935330	937543	+
495	CCNA_00867	946004	946492	+
2381	CCNA_03889	946747	947268	+
498	CCNA_00874	952833	953744	+
500	CCNA_00878	955220	956650	+
501	CCNA_00879	956807	959071	+
506	CCNA_00886	964937	966184	+
507	CCNA_00887	966367	966831	+
508	CCNA_00888	966956	967309	+
511	CCNA_00891	968889	969827	+
512	CCNA_00892	970314	972578	+
513	CCNA_00893	972738	973802	+
514	CCNA_00894	973984	975135	+
514	CCNA_00895	975146	975541	+
516	CCNA_00897	976013	976177	+
518	CCNA_00900	978293	980500	+
520	CCNA_00902	981935	982915	+
520	CCNA_00903	982938	984485	+
520	CCNA_00904	984482	985480	+
523	CCNA_00915	993947	994708	+
525	CCNA_00918	995336	996205	+
525	CCNA_00919	996243	996467	+
525	CCNA_00920	996464	997576	+
526	CCNA_00921	997744	998499	+
527	CCNA_00922	998598	1001177	+
528	CCNA_00923	1001397	1001729	+
532	CCNA_00929	1005247	1006242	+
532	CCNA_00930	1006253	1006870	+
532	CCNA_00931	1006846	1008048	+
532	CCNA_00932	1008064	1008525	+
533	CCNA_00933	1008616	1010022	+
533	CCNA_00934	1010073	1010594	+
535	CCNA_00936	1011810	1012649	+
538	CCNA_00939	1014509	1015012	+
539	CCNA_00940	1015105	1017138	+
541	CCNA_00944	1021867	1023069	+
541	CCNA_00945	1022922	1023653	+
541	CCNA_00946	1023665	1024348	+
541	CCNA_00947	1024495	1026270	+
543	CCNA_00948	1026439	1026720	+
543	CCNA_00949	1026741	1026965	+
543	CCNA_00950	1026984	1028648	+
543	CCNA_00951	1028648	1029670	+
543	CCNA_00952	1029681	1030319	+
543	CCNA_00953	1030335	1030667	+
543	CCNA_00954	1030701	1032068	+
547	CCNA_00956	1032336	1034438	+
547	CCNA_00957	1034478	1035959	+
549	CCNA_00959	1037402	1038040	+
549	CCNA_00961	1038075	1038479	+
553	CCNA_00966	1040719	1041387	+
555	CCNA_00968	1042164	1043663	+
557	CCNA_00970	1046120	1049140	+
559	CCNA_00972	1050224	1050370	+
561	CCNA_00974	1051388	1054555	+
563	CCNA_00977	1057369	1057779	+
563	CCNA_00978	1057794	1058162	+
564	CCNA_00979	1058314	1059390	+
564	CCNA_00980	1059395	1060600	+
564	CCNA_00981	1060597	1061301	+
565	CCNA_00982	1061622	1062050	+
567	CCNA_00986	1066823	1067782	+
567.1	CCNA_00987	1067843	1068046	+
569	CCNA_00989	1069657	1071558	+
574	CCNA_00995	1077242	1078576	+
575	CCNA_00996	1078807	1079691	+
576	CCNA_00997	1079915	1081138	+
577	CCNA_00998	1081367	1081786	+
578	CCNA_00999	1081984	1082481	+
578	CCNA_01000	1082537	1082725	+
581	CCNA_01004	1085196	1085639	+
581	CCNA_01005	1085652	1086071	+
581	CCNA_01006	1086082	1086393	+
583	CCNA_01012	1092339	1093718	+
583	CCNA_01013	1093715	1094422	+
585	CCNA_01015	1095313	1096998	+
585	CCNA_01016	1096995	1097903	+
586	CCNA_01017	1098179	1099771	+
589	CCNA_01021	1105026	1108139	+
590	CCNA_01022	1108366	1109898	+
590	CCNA_01023	1109908	1111458	+
594	CCNA_01028	1114031	1115644	+
597	CCNA_01031	1119701	1121353	+
597.1	CCNA_01032	1121440	1122033	+
597.1	CCNA_01033	1121997	1122992	+
599	CCNA_01034	1123256	1126540	+
599	CCNA_01035	1126541	1128433	+
602	CCNA_01039	1133616	1134932	+
602	CCNA_01040	1134929	1136569	+
605	CCNA_01044	1140124	1140756	+
607	CCNA_01047	1142237	1144948	+
608	CCNA_01048	1145106	1145369	+
609	CCNA_03945	1145454	1145606	+
609	CCNA_01049	1145672	1146154	+
610	CCNA_01050	1146283	1147911	+
611	CCNA_01051	1148357	1151464	+
612	CCNA_01052	1151554	1152276	+
612	CCNA_01053	1152201	1153307	+
612	CCNA_01054	1153331	1154830	+
617	CCNA_01059	1159693	1162773	+
618	CCNA_01060	1163016	1164752	+
619	CCNA_01061	1164820	1166130	+
620	CCNA_01062	1166270	1167247	+
620	CCNA_01063	1167247	1167894	+
620	CCNA_01064	1167891	1169006	+
620	CCNA_01065	1169010	1170047	+
620	CCNA_01066	1170058	1171095	+
620	CCNA_01067	1171152	1172735	+
622	CCNA_01069	1174284	1175819	+
629	CCNA_01078	1183239	1183991	+
631	CCNA_01080	1184254	1184817	+
631	CCNA_01081	1184863	1185642	+
633	CCNA_01083	1186885	1188876	+
633	CCNA_01084	1188873	1190108	+
636	CCNA_01087	1193276	1193992	+
644	CCNA_01102	1208217	1208816	+
646	CCNA_01105	1211168	1212040	+
646	CCNA_01106	1212099	1212368	+
646	CCNA_01107	1212372	1212590	+
648	CCNA_01109	1213981	1215771	+
648	CCNA_01110	1215774	1216700	+
649	CCNA_01111	1217028	1217396	+
649	CCNA_01112	1217396	1218130	+
651	CCNA_01116	1220535	1222292	+
653	CCNA_01118	1223264	1223593	+
654	CCNA_01119	1223722	1224102	+
656	CCNA_01121	1224493	1226007	+
657	CCNA_01122	1226141	1227676	+
657	CCNA_01123	1227687	1229291	+
2382	CCNA_03890	1231609	1232988	+
661	CCNA_01128	1233054	1233356	+
662	CCNA_01129	1233504	1233770	+
662	CCNA_01130	1233785	1234540	+
662	CCNA_01131	1234550	1235635	+
662	CCNA_01132	1235738	1237813	+
665	CCNA_01138	1240937	1241314	+
666	CCNA_01139	1241418	1243241	+
668	CCNA_01141	1245163	1246233	+
669	CCNA_01142	1246920	1247396	+
671	CCNA_01147	1250554	1251102	+
672	CCNA_01148	1251192	1251368	+
674	CCNA_01151	1254720	1255703	+
674	CCNA_01152	1255714	1256535	+
674	CCNA_01153	1256537	1257817	+
674	CCNA_01154	1257902	1258591	+
675	CCNA_01155	1258877	1261810	+
676	CCNA_01156	1261886	1262671	+
677	CCNA_01157	1262857	1264356	+
677	CCNA_01158	1264250	1266709	+
679	CCNA_03946	1266917	1266961	+
679	CCNA_01159	1266958	1268313	+
681	CCNA_01161	1268520	1269866	+
682	CCNA_01162	1269938	1272241	+
683	CCNA_01163	1272589	1280028	+
684	CCNA_01164	1280183	1282201	+
684	CCNA_01165	1282180	1284618	+
687	CCNA_01171	1291753	1292091	+
688	CCNA_01172	1292202	1293044	+
690	CCNA_01175	1294712	1295635	+
690	CCNA_01176	1295632	1295991	+
690	CCNA_01177	1295998	1297656	+
690	CCNA_01178	1297640	1298146	+
690	CCNA_01179	1298146	1298880	+
695	CCNA_01182	1301993	1302586	+
695	CCNA_01183	1302605	1303633	+
695	CCNA_01184	1303641	1304087	+
697	CCNA_01186	1304705	1305016	+
698	CCNA_01187	1305189	1305740	+
698	CCNA_01188	1305737	1306660	+
699	CCNA_01189	1306766	1309666	+
700	CCNA_01190	1309772	1311301	+
704	CCNA_01196	1319269	1321248	+
706	CCNA_01198	1321668	1322570	+
706	CCNA_01199	1322567	1323436	+
711	CCNA_01205	1331972	1332958	+
711	CCNA_01206	1332960	1333697	+
711	CCNA_01207	1333694	1334875	+
711	CCNA_01208	1334872	1335477	+
711	CCNA_01209	1335487	1336638	+
712	CCNA_01210	1336864	1337625	+
715	CCNA_01217	1343532	1344659	+
715	CCNA_01218	1344578	1345570	+
715	CCNA_01219	1345567	1346448	+
718	CCNA_01227	1353981	1355048	+
718	CCNA_01228	1355045	1355674	+
720	CCNA_01230	1357095	1358750	+
720	CCNA_01231	1358738	1359754	+
722	CCNA_01234	1361248	1362339	+
723	CCNA_01235	1362403	1363035	+
727	CCNA_01243	1369302	1371773	+
730	CCNA_01248	1375993	1376628	+
730	CCNA_01249	1376633	1377439	+
730	CCNA_01250	1377382	1378422	+
730	CCNA_01251	1378419	1379177	+
732	CCNA_01253	1381534	1382418	+
732	CCNA_01254	1382418	1382876	+
735	CCNA_01259	1386326	1387099	+
735.1	CCNA_01260	1387138	1387887	+
737	CCNA_01261	1388006	1389121	+
737	CCNA_01262	1389121	1392264	+
737	CCNA_01263	1392280	1394634	+
2399	CCNA_03947	1394783	1394905	+
743	CCNA_01269	1397552	1398055	+
743	CCNA_01270	1398112	1398321	+
744	CCNA_01271	1398470	1399003	+
746	CCNA_01275	1401717	1402610	+
746	CCNA_01276	1402610	1402969	+
746	CCNA_01277	1402986	1404392	+
748	CCNA_01281	1407064	1408554	+
748	CCNA_01282	1408625	1409668	+
748	CCNA_01283	1409575	1410771	+
748	CCNA_01284	1410657	1411604	+
751	CCNA_01286	1412679	1412939	+
753	CCNA_01288	1414050	1415267	+
755	CCNA_01290	1415745	1416851	+
755	CCNA_01291	1416848	1417858	+
755	CCNA_01292	1417855	1418280	+
757	CCNA_01294	1418730	1419224	+
2327	CCNA_01298	1423488	1424678	+
761	CCNA_01299	1424774	1425400	+
762	CCNA_01300	1425640	1426458	+
762	CCNA_01301	1426458	1428746	+
762	CCNA_01302	1428800	1429948	+
763	CCNA_01303	1430061	1430900	+
764	CCNA_01304	1431129	1431329	+
764	CCNA_01305	1431343	1431651	+
764	CCNA_01306	1431629	1432432	+
764	CCNA_01307	1432432	1433070	+
764	CCNA_01308	1433070	1433366	+
764	CCNA_01309	1433370	1434209	+
764	CCNA_01310	1434213	1434491	+
764	CCNA_01311	1434494	1434874	+
764	CCNA_01312	1434874	1435626	+
764	CCNA_01313	1435640	1436071	+
764	CCNA_01314	1436077	1436268	+
764	CCNA_01315	1436279	1436518	+
764	CCNA_01316	1436536	1436904	+
764	CCNA_01317	1436904	1437218	+
764	CCNA_01318	1437211	1437768	+
764	CCNA_01319	1437790	1438095	+
764	CCNA_01320	1438106	1438504	+
764	CCNA_01321	1438523	1439056	+
764	CCNA_01322	1439060	1439410	+
764	CCNA_01323	1439421	1440026	+
764	CCNA_01324	1440030	1440215	+
764	CCNA_01325	1440388	1440873	+
764	CCNA_01326	1441093	1442448	+
764.1	CCNA_01327	1442583	1443158	+
765	CCNA_01328	1443405	1443773	+
765	CCNA_01329	1443787	1444176	+
765	CCNA_01330	1444254	1445270	+
767	CCNA_01332	1445475	1445888	+
770	CCNA_01336	1448810	1450039	+
771	CCNA_01337	1450109	1451731	+
772	CCNA_01338	1451802	1452257	+
772	CCNA_01339	1452254	1452583	+
772	CCNA_03880	1452580	1453074	+
772	CCNA_01340	1453071	1454321	+
772	CCNA_01341	1454414	1455832	+
773	CCNA_01342	1455951	1457252	+
773	CCNA_01343	1457249	1458061	+
773	CCNA_01344	1458048	1458584	+
775	CCNA_01345	1458745	1459527	+
776	CCNA_01346	1459714	1460394	+
776	CCNA_01347	1460358	1461083	+
777	CCNA_01348	1461471	1462034	+
778	CCNA_01349	1462307	1462717	+
778	CCNA_01350	1462732	1463100	+
782	CCNA_01355	1469366	1470241	+
783	CCNA_01356	1470370	1472298	+
783	CCNA_01357	1472300	1474144	+
783	CCNA_01358	1474148	1475047	+
783	CCNA_01359	1475044	1475853	+
783	CCNA_01360	1475884	1477386	+
784	CCNA_01361	1477574	1477915	+
784	CCNA_01362	1477912	1478580	+
784	CCNA_01363	1478577	1479935	+
785	CCNA_01364	1480166	1481191	+
788	CCNA_01367	1482331	1483221	+
789	CCNA_01368	1483373	1484587	+
789	CCNA_01369	1484714	1485853	+
2400	CCNA_03948	1486209	1486346	+
792	CCNA_01373	1487512	1488318	+
792	CCNA_01374	1488246	1490177	+
792.1	CCNA_01375	1490238	1490675	+
792.1	CCNA_01376	1490853	1491557	+
794	CCNA_01378	1492535	1493107	+
794	CCNA_01379	1493232	1494683	+
795	CCNA_01380	1494812	1495345	+
796	CCNA_01381	1495472	1498192	+
797	CCNA_01382	1498487	1500238	+
797	CCNA_01383	1500243	1500605	+
799	CCNA_01385	1502307	1503038	+
801	CCNA_01387	1503930	1505177	+
801	CCNA_01388	1505184	1506251	+
802	CCNA_01389	1506300	1507313	+
803	CCNA_01390	1507389	1509002	+
803	CCNA_01391	1509067	1510149	+
804	CCNA_01392	1510305	1510772	+
806	CCNA_01395	1513437	1515113	+
806.1	CCNA_01396	1515188	1516918	+
806.1	CCNA_01397	1516960	1517832	+
806.1	CCNA_01398	1517840	1518478	+
809	CCNA_01403	1520934	1521833	+
809	CCNA_01404	1521840	1523918	+
812	CCNA_01407	1525535	1526167	+
2402	CCNA_03950	1529779	1529883	+
814	CCNA_01412	1529975	1531120	+
814	CCNA_01413	1531128	1531727	+
814	CCNA_01414	1531736	1532788	+
814	CCNA_01415	1532847	1533644	+
815	CCNA_01416	1533716	1534612	+
816	CCNA_01417	1534788	1536014	+
818	CCNA_01419	1536723	1538009	+
818	CCNA_01420	1538042	1538515	+
818.1	CCNA_01421	1538581	1539045	+
818.1	CCNA_01422	1539042	1539491	+
818.1	CCNA_01423	1539451	1540509	+
819	CCNA_01424	1540672	1541166	+
820	CCNA_01425	1541409	1543547	+
824	CCNA_01429	1545062	1545592	+
824	CCNA_01430	1545577	1546116	+
825	CCNA_01431	1546292	1547374	+
825	CCNA_01432	1547371	1548348	+
